단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha,경도,위도
동아,59.97,16,1998,양천로69길 58,7.001897526727447,22,2020-07-11,1.0,126.872960399991,37.5552719720298
마곡중앙하이츠아파트,51.03,12,1994,양천로6길 28,6.770830773078451,26,2020-07-11,1.0,126.806399839179,37.5710274870985
동아불암,59.4,4,1999,덕릉로 780,6.561130670896906,21,2020-07-11,1.0,127.079126011496,37.6666919810414
주함해븐,84.99,2,2009,봉우재로 136-8,6.089562609447968,11,2020-07-11,1.0,127.088648857424,37.5925523492983
홍제삼성래미안,84.33,2,2001,통일로 319,6.867466760068026,19,2020-07-11,1.0,126.951950212766,37.5781824961904
서초동아타워,142.31,8,1996,서운로 138,6.840096630508322,24,2020-07-11,0.5169925001442311,127.025267395048,37.495994185
현대2,59.39,10,1993,양천로73길 6,6.8309626021868395,27,2020-07-11,0.4169925001442311,126.873073850985,37.5511042601915
신동아4,84.46,4,1993,동작대로29길 110,7.1710480908859155,27,2020-07-11,0.5584962500721155,126.977745172841,37.489824423368
현대1,84.77,7,1994,양천로75길 57,6.778612697747337,26,2020-07-11,0.49339196241881217,126.874890556801,37.5533141837481
현대6차,84.72,1,1997,선유서로 31,6.7792027030745,23,2020-07-11,1.0,126.883974708116,37.5186321610801
경동윈츠리버,110.04,3,2004,노량진로32길 156,6.7395108360790195,16,2020-07-11,1.0,126.954507492454,37.5094180674846
삼부컨비니언,111.71,13,1998,동소문로 248,6.5713725558551435,22,2020-07-11,1.0,127.024541211803,37.6034576002933
마곡금호어울림,84.948,3,2005,양천로47길 94,6.65537071642851,15,2020-07-11,1.0,126.837207289666,37.574441814534
월드메르디앙101동,84.93,8,2004,양천로1길 117,6.5898312556538645,16,2020-07-11,1.0,126.808965206212,37.5752419193891
우장산힐스테이트,59.98,12,2005,강서로 348,7.322403391268522,15,2020-07-11,1.0,126.83808109977,37.5570784073479
우장산힐스테이트,84.98,13,2005,강서로 348,7.1838382155905665,15,2020-07-11,1.0,126.83808109977,37.5570784073479
우장산힐스테이트,126.65,11,2005,강서로 348,6.902609809485931,15,2020-07-11,1.0,126.83808109977,37.5570784073479
경남아너스빌,70.39,2,2007,봉화산로56길 112,6.703748374687618,13,2020-07-11,1.0,127.096877609532,37.6040134222925
현대1,84.75,17,1992,도신로4길 14,6.657704274748003,28,2020-07-11,0.4863080499261084,126.893828898365,37.5016630877078
