단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha
신동아4,84.46,4,1993,동작대로29길 110,1301.2076722708975,27,2020-07-11,0.5584962500721155
현대1,84.77,7,1994,양천로75길 57,878.8486492863042,26,2020-07-11,0.49339196241881217
현대6차,84.72,1,1997,선유서로 31,879.367327667611,23,2020-07-11,1.0
경동윈츠리버,110.04,3,2004,노량진로32길 156,845.1472191930206,16,2020-07-11,1.0
삼부컨비니언,111.71,13,1998,동소문로 248,714.3496553576225,22,2020-07-11,1.0
마곡금호어울림,84.948,3,2005,양천로47길 94,776.9458963130386,15,2020-07-11,1.0
월드메르디앙101동,84.93,8,2004,양천로1길 117,727.6580713528788,16,2020-07-11,1.0
우장산힐스테이트,59.98,12,2005,강서로 348,1513.8379459819942,15,2020-07-11,1.0
우장산힐스테이트,84.98,13,2005,강서로 348,1317.9571663920922,15,2020-07-11,1.0
우장산힐스테이트,126.65,11,2005,강서로 348,994.8677457560204,15,2020-07-11,1.0
경남아너스빌,70.39,2,2007,봉화산로56길 112,815.4567410143486,13,2020-07-11,1.0
현대1,84.75,17,1992,도신로4길 14,778.7610619469026,28,2020-07-11,0.4863080499261084
창신쌍용1,79.87,6,1992,동망산길 19,863.9038437460873,28,2020-07-11,0.38885933427764935
왕십리자이,59.99,3,2017,난계로 100,1666.944490748458,3,2020-07-11,1.0
신원지벤스타4,191.28,1,2005,명지길 58,413.00710999581764,15,2020-07-11,0.792481250360578
마곡우림1차아파트,59.901,10,2003,양천로24길 34,914.8428239929216,17,2020-07-11,0.43333333333333335
학여울청구,59.4,12,1999,동일로207길 186,917.5084175084176,21,2020-07-11,1.0
마곡서광(치현마을),84.93,2,1998,양천로27길 129,565.171317555634,22,2020-07-11,1.0
마곡우림필유아파트,84.528,7,2003,양천로28길 29,861.2530759038425,17,2020-07-11,1.0
벽산,59.98,17,1999,양천로47길 118,998.6662220740247,21,2020-07-11,1.0
홍제삼성래미안,60.0,11,2001,통일로 319,1166.6666666666667,19,2020-07-11,1.0
벽산,84.97,10,1999,양천로47길 118,776.7447334353301,21,2020-07-11,1.0
문래두산위브,79.86,14,1988,선유로9나길 8,939.1435011269722,32,2020-07-11,0.0
신내11대명,49.77,5,1996,봉화산로 193,874.0204942736588,24,2020-07-11,1.0
무학,59.38,9,1999,양천로77길 45,1091.2765240821825,21,2020-07-11,1.0
이촌코오롱(A),59.82,18,1999,이촌로87길 21,2173.186225342695,21,2020-07-11,1.0
이촌동삼성리버스위트,137.37,2,2002,이촌로88길 30,1528.7180607119458,18,2020-07-11,1.0
주공5,37.67,10,1995,공항대로39길 74,1406.955136713565,25,2020-07-11,1.0
대림,89.975,1,1995,공항대로39길 100,911.3642678521812,25,2020-07-11,1.0
롯데캐슬,105.53,15,2003,사당로27길 190,1023.40566663508,17,2020-07-11,0.8666666666666667
사당롯데캐슬2차,84.766,11,2004,사당로27길 181,1167.9211004412145,16,2020-07-11,1.0
이수역리가,84.847,11,2013,사당로27길 130,1473.2400674154655,7,2020-07-11,1.0
장안현대홈타운(336),58.42,2,2003,장안벚꽃로 107,1163.9849366655255,17,2020-07-11,1.0
라이프씨티,59.78,4,1992,갈현로3다길 15,501.8400802944128,28,2020-07-11,0.18715699480384024
주공5,58.14,14,1995,공항대로39길 74,1195.390436876505,25,2020-07-11,1.0
e편한세상염창,84.6352,10,2019,공항대로 583,1512.373102444373,1,2020-07-11,1.0
예향,84.67,3,2001,망원로2길 14,637.7701665288768,19,2020-07-11,0.3666666666666667
래미안로이파크,84.98,7,2018,사당로23길 4,1702.7535890797833,2,2020-07-11,1.0
은평뉴타운솔하임,45.034,10,2017,통일로 1080,1105.8311497979305,3,2020-07-11,1.0
주공2,44.52,12,1992,초안산로1길 18,853.5489667565139,28,2020-07-11,0.5046570405553964
현대,59.96,3,1991,사당로17길 111,1092.3949299533022,29,2020-07-11,0.1830617698776558
상도더샵2차,84.98,4,2014,장승배기로10길 100,1270.8872675923747,6,2020-07-11,1.0
상도더샵2차,84.97,7,2014,장승배기로10길 100,1288.6901259267977,6,2020-07-11,1.0
삼성래미안,60.739,10,2003,사당로23바길 9,1473.517838620985,17,2020-07-11,1.0
상계주공5(저층),31.98,2,1987,동일로216길 47,2032.520325203252,33,2020-07-11,0.0
장안힐스테이트,59.928,14,2007,장안벚꽃로1길 7,1251.5018021625951,13,2020-07-11,1.0
장안힐스테이트,84.789,8,2007,장안벚꽃로1길 7,1061.4584439019213,13,2020-07-11,1.0
태솔에버빌,49.88,3,2013,장한로28가길 91,641.5396952686447,7,2020-07-11,1.0
화랑타운아파트,84.65,3,2000,화랑로51길 17,897.8145304193738,20,2020-07-11,1.0
우방,59.91,3,2002,금하로 750,726.0891337005509,18,2020-07-11,1.0
강일리버파크8단지,84.83,12,2009,아리수로94길 72,1000.8251797713074,11,2020-07-11,1.0
강일리버파크5단지,59.87,3,2009,아리수로97길 20,1269.4170703190246,11,2020-07-11,1.0
북한산힐스테이트7차,84.813,3,2011,통일로 796,1269.8524990272717,9,2020-07-11,1.0
신사동한신휴플러스,114.49,1,2003,갈현로1길 31,537.1648178880251,17,2020-07-11,1.0
프레미어스엠코,76.66,25,2013,망우로 353,1102.2697625880512,7,2020-07-11,1.0
라이프미성,125.75,15,1988,통일로 780,739.5626242544731,32,2020-07-11,0.0
송파파인타운3단지,84.98,7,2008,충민로 152,1294.4222169922334,12,2020-07-11,1.0
송파파인타운3단지,84.93,8,2008,충민로 152,1295.1842693983278,12,2020-07-11,1.0
흑석한강센트레빌Ⅱ,84.99,18,2012,서달로 91,1588.4221673138018,8,2020-07-11,1.0
코오롱하늘채,123.2858,8,2003,갈현로29길 62,547.5083099594601,17,2020-07-11,1.0
구로현대,63.98,3,1992,디지털로 319,875.2735229759301,28,2020-07-11,0.3523601479241498
남해오네뜨,59.958,9,2002,사당로2가길 173,1080.7565295706995,18,2020-07-11,1.0
서초포레스타2단지,84.48,5,2015,헌릉로8길 45,1538.8257575757575,5,2020-07-11,1.0
장안힐스테이트,114.958,14,2007,장안벚꽃로1길 7,942.083195601872,13,2020-07-11,1.0
옥수파크힐스101동~116동,84.3,3,2016,매봉길 50,1838.6714116251483,4,2020-07-11,1.0
사당휴먼시아,59.96,1,2009,사당로16길 96,1167.4449633088725,11,2020-07-11,1.0
삼성래미안,59.9843,8,2004,매봉로 123,1500.392602731048,16,2020-07-11,1.0
샹그레빌아파트,79.248,2,2004,회기로5길 100,719.2610539067232,16,2020-07-11,1.0
세곡푸르지오,84.84,8,2012,자곡로 21,1626.5912305516265,8,2020-07-11,1.0
당산어울림2차,84.9651,1,2009,양산로17길 22,988.641218570919,11,2020-07-11,1.0
돈암동 풍림아파트 101~105동,114.41,4,1999,북악산로 913,568.1321562800455,21,2020-07-11,0.9965784284662088
태강아파트(아이파크),49.6,8,1999,공릉로34길 62,806.4516129032257,21,2020-07-11,1.0
거여1단지,49.8,2,1997,양산로8길 8,1415.6626506024097,23,2020-07-11,1.0
금호어울림(580),84.93,3,2006,양원역로 18,700.5769457200047,14,2020-07-11,1.0
정릉2차e-편한세상,114.35,11,2009,북악산로 851,830.7826847398339,11,2020-07-11,1.0
정릉2차e-편한세상,59.37,6,2009,북악산로 851,1128.5160855651002,11,2020-07-11,1.0
한신휴2차,59.89,8,1999,디지털로69길 12,911.6713975621974,21,2020-07-11,1.0
방화5,39.6,13,1994,금낭화로 287-19,957.070707070707,26,2020-07-11,1.0
에스케이북한산시티,84.92,8,2004,솔샘로 174,788.9778615167216,16,2020-07-11,1.0
마곡13단지힐스테이트마스터,59.9825,9,2017,마곡중앙1로 71,1575.4595090234652,3,2020-07-11,1.0
은천2단지아파트,59.93,10,2000,인헌12길 46-1,1001.1680293675955,20,2020-07-11,1.0
에스케이북한산시티,84.76,16,2004,솔샘로 174,884.8513449740443,16,2020-07-11,1.0
신촌럭키,83.38,12,1999,이화여대길 50-12,1186.1357639721757,21,2020-07-11,1.0
신촌럭키,59.7,6,1999,이화여대길 50-12,1214.4053601340033,21,2020-07-11,1.0
양평현대6차,84.94,19,2000,선유로 207,1058.3941605839416,20,2020-07-11,1.0
극동,59.67,1,2000,북악산로29길 67,879.8391151332328,20,2020-07-11,1.0
에스케이북한산시티,59.98,25,2004,솔샘로 174,1050.3501167055686,16,2020-07-11,1.0
강남한양수자인(4단지),59.99,1,2014,자곡로 260,2058.6764460743457,6,2020-07-11,1.0
삼성래미안,109.651,16,2004,디지털로31길 90,819.8739637577405,16,2020-07-11,1.0
목동센트럴아이파크위브2단지,59.68,16,2020,남부순환로83길 18,1558.3109919571045,0,2020-07-11,1.0
성내동삼성아파트,114.93,26,1999,풍성로 128,1122.4223440354997,21,2020-07-11,1.0
한신휴플러스,114.91,8,2004,매봉로 99,896.353668088069,16,2020-07-11,1.0
새솔금호,84.89,5,1996,공원로 35,659.6772293556367,24,2020-07-11,0.9400879436282181
상계주공2(고층),58.01,4,1987,동일로215길 23,1025.6852266850544,33,2020-07-11,0.0
상계주공2(고층),41.3,15,1987,동일로215길 23,1014.5278450363197,33,2020-07-11,0.0
금호,59.96,17,1997,공원로 26,658.7725150100067,23,2020-07-11,1.0
한신아파트,129.66,1,1991,한내로 62,497.45488199907453,29,2020-07-11,0.2069817788542983
북한산힐스테이트1차아파트,59.817,1,2009,불광로2길 33,1069.929953023388,11,2020-07-11,1.0
삼환,59.4,22,1995,남부순환로95길 54,900.6734006734007,25,2020-07-11,1.0
현대강변,82.68,10,1991,자양로3가길 43,1100.62893081761,29,2020-07-11,0.033333333333333326
동아,83.09,4,1995,양녕로23길 43,661.9328439042002,25,2020-07-11,0.6812438068750564
코오롱,59.94,12,1998,도영로 2-5,1259.592926259593,22,2020-07-11,1.0
한솔애리즈202동,111.96,3,2004,풍성로 202,616.2915326902465,16,2020-07-11,0.7396491670032062
