단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,계약일자,alpha
온누리,84.37,5,2007,대림로22길 38,521.5123859191656,13,2020-09-18,1.0
금강(343),84.983,4,2003,오리로 1197,858.9953284774601,17,2020-09-18,1.0
현대2,84.26,5,1986,국회대로29길 5,1121.5286019463565,34,2020-09-18,0.0
산호,86.12,5,1977,원효로 66,1735.9498374361356,43,2020-09-18,0.0
주공10,58.14,4,1995,노원로22길 53,1066.3914688682491,25,2020-09-18,1.0
동부센트레빌,59.99,9,2001,이촌로 174,2383.730621770295,19,2020-09-18,1.0
대신빌라,54.18,4,1996,도림로14길 11,374.67700258397934,24,2020-09-18,0.3999999999999999
마포래미안푸르지오2단지,84.5978,7,2014,마포대로 195,2014.2367768428965,6,2020-09-18,1.0
명진,100.14,4,2004,응암로16길 8-13,469.342919912123,16,2020-09-18,0.9333333333333333
보미리아파트,115.24,8,2001,신반포로41길 55,1345.019090593544,19,2020-09-19,1.0
주공4,84.79,7,1991,덕릉로76길 29,1002.476707158863,29,2020-09-19,0.16666666666666663
서초현대,84.78,9,1999,사임당로19길 10,1934.418494928049,21,2020-09-19,1.0
강일리버파크3단지,59.88,13,2009,아리수로93길 40,1269.2050768203073,11,2020-09-19,1.0
"마제스타시티(힐스테이트서리풀101,102동)",59.95,16,2017,서초대로38길 12,2685.57130942452,3,2020-09-19,1.0
아남,70.42,12,1992,마천로35길 18,852.0306731042317,28,2020-09-19,0.23899750004807702
가양우성,84.87,4,1990,양천로 489,1013.3144809708966,30,2020-09-19,0.0
현대리버빌2지구,59.4,12,1999,풍성로24길 42,1456.2289562289563,21,2020-09-19,1.0
노블레스아파트,84.87,4,2006,공항대로65가길 17,622.1279604100389,14,2020-09-19,1.0
송파파인타운7단지,84.93,10,2007,충민로4길 19,1460.025903685388,13,2020-09-19,1.0
래미안송파파인탑,53.36,26,2012,오금로32길 31,2267.616191904048,8,2020-09-19,1.0
신촌금호,59.21,15,2001,서강로9길 19,1334.2340820807296,19,2020-09-19,1.0
휴먼아파트A,84.08,4,2002,인헌1길 34,612.511893434824,18,2020-09-19,0.8
(747-51),49.59,5,1999,구로동로8길 18-9,302.4803387779794,21,2020-09-19,1.0
우평,99.29,2,2003,남부순환로262길 37,705.0055393292375,17,2020-09-19,1.0
강변,66.29,7,1987,잠원로 166-17,2624.8302911449687,33,2020-09-19,0.0
마곡드림힐,59.4396,10,2003,양천로24길 54-9,804.1776862563005,17,2020-09-19,1.0
신당아르브,18.08,4,2014,난계로 151,829.6460176991151,6,2020-09-19,1.0
삼익파크맨션,137.7,8,1983,명일로 293,944.081336238199,37,2020-09-19,0.0
관악캠퍼스타워,41.1,9,1998,남부순환로 1802,729.92700729927,22,2020-09-19,0.5333333333333334
파라디아,115.49,10,2010,천호옛길 30,857.2170750714348,10,2020-09-19,1.0
리슈리안,51.65,8,2015,중앙로 311,774.4433688286545,5,2020-09-19,1.0
새롬(1164-14),57.93,6,2000,논현로2길 38,914.8972898325566,20,2020-09-19,1.0
천왕연지타운2단지,84.97,2,2014,오리로 1102-10,812.0513122278452,6,2020-09-19,1.0
대림(1차),75.51,8,1986,독서당로62길 43,1522.9770891272678,34,2020-09-19,0.0
목동삼성,84.77,21,1996,신목로 7,1383.7442491447446,24,2020-09-19,1.0
e편한세상신촌1단지,84.95,18,2018,북아현로1가길 20,1795.1736315479693,2,2020-09-19,1.0
이촌동삼성리버스위트,134.9,11,2002,이촌로88길 30,1853.2246108228317,18,2020-09-19,1.0
마포래미안푸르지오2단지,84.8919,24,2014,마포대로 195,2002.5467683018048,6,2020-09-19,1.0
신도림롯데아파트,59.96,11,1999,새말로 31,1207.4716477651768,21,2020-09-19,1.0
롯데캐슬로잔,244.937,5,2009,평창문화로 156,726.717482454672,11,2020-09-19,1.0
한강삼성,59.97,15,1997,토정로32길 11,1775.887943971986,23,2020-09-19,1.0
신내 데시앙포레,84.62,1,2013,신내역로 165,827.2276057669582,7,2020-09-19,1.0
성원,55.35,14,1998,모래내로 430,993.676603432701,22,2020-09-19,1.0
가락금호아파트,85.0,9,1997,송파대로32길 15,1700.0,23,2020-09-19,1.0
광산,56.76,6,1973,모래내로 455,458.06906272022553,47,2020-09-19,0.0
위더스빌,84.83,16,2010,동일로 942,795.709065189202,10,2020-09-19,1.0
마포용강삼성래미안,59.98,14,2003,큰우물로 28,1667.2224074691565,17,2020-09-19,1.0
펜트라우스,103.04,16,2011,백범로 205,1407.22049689441,9,2020-09-19,1.0
홍제현대,83.05,6,1992,통일로39가길 57,1035.5207706201084,28,2020-09-19,0.30157079707046747
리센츠,124.22,24,2008,올림픽로 135,2246.0151344388987,12,2020-09-19,1.0
월등스카이뷰,68.318,5,2004,동일로 938,582.5697473579437,16,2020-09-19,1.0
태영,64.6,7,2002,망원로 61-1,773.9938080495357,18,2020-09-19,0.8
주함헤븐103동,73.88,4,2006,남부순환로58길 24-16,389.82133188955066,14,2020-09-19,1.0
리치캐슬아파트,71.31,1,2003,성균관로14길 19,673.1173748422381,17,2020-09-19,0.8666666666666667
힐스테이트송파위례,101.95,19,2016,위례광장로 170,1603.727317312408,4,2020-09-19,1.0
현대,72.63,3,1994,용마산로 252,828.858598375327,26,2020-09-19,0.585642323037168
프라자,84.67,10,1985,문정로 125,1547.1831817644975,35,2020-09-19,0.0
상록,57.88,18,1997,숭문길 106,1344.1603317208017,23,2020-09-19,1.0
무학,59.38,5,1998,장군봉8길 16,825.1936679016503,22,2020-09-19,1.0
우물골2단지두산위브(204~208동)BL2-5,59.37,6,2009,진관2로 77,1254.842513053731,11,2020-09-19,1.0
래미안퍼스티지,222.76,7,2009,반포대로 275,2186.209373316574,11,2020-09-19,1.0
동도센트리움,80.822,17,2009,마들로 579-19,742.3721264012273,11,2020-09-19,1.0
한가람,84.96,20,1998,이촌로71길 10,2165.7250470809795,22,2020-09-19,1.0
천호동1차예전이룸아파트,84.18,3,2004,양재대로121길 50,712.7583749109051,16,2020-09-19,1.0
당산계룡리슈빌2단지,40.136,11,2014,양산로25길 8,1631.9513653577835,6,2020-09-19,1.0
하림빌라트,47.63,4,1998,숭인동길 83-15,604.660927986563,22,2020-09-19,0.5333333333333334
대일아이안(9-25),52.275,5,2013,불광로1길 9,688.6657101865136,7,2020-09-19,1.0
두산,59.69,1,1997,남부순환로95길 88,809.1807672977048,23,2020-09-19,1.0
문정래미안,84.96,17,2004,문정로 83,1588.9830508474577,16,2020-09-19,1.0
삼환,84.945,15,1995,남부순환로95길 54,765.2010124198011,25,2020-09-19,1.0
개포주공7단지,83.7,3,1983,개포로 516,2747.909199522103,37,2020-09-19,0.0
길음서희스타힐스,66.61,3,2011,동소문로 284,990.842215883501,9,2020-09-19,1.0
상록타워아파트,83.96,22,1997,아차산로 540,1536.4459266317294,23,2020-09-19,0.739649167003206
신일,53.38,7,2003,도봉로76가길 27,646.309479205695,17,2020-09-19,0.8666666666666667
금호,84.86,10,1997,공원로 26,595.0978081546076,23,2020-09-19,1.0
구파발10단지어울림(1011~1019동)BL3-1,101.84,3,2010,진관3로 15-45,923.0164964650431,10,2020-09-19,1.0
중계그린1단지,49.85,9,1990,동일로207길 18,1073.2196589769308,30,2020-09-19,0.0
아이파크종암동2차,84.73,7,2005,종암로9길 71,1073.9997639560959,15,2020-09-19,1.0
대림아르빌,84.74,6,2005,대사관로11길 21,1475.1003068208638,15,2020-09-19,1.0
천호엘크루,144.5,17,2008,올림픽로 660,726.643598615917,12,2020-09-19,1.0
신대방,59.6,2,1995,보라매로 83,872.48322147651,25,2020-09-19,0.6949875002403852
삼익2차아파트,51.784,14,2004,공릉로34길 118,863.2009887223853,16,2020-09-19,1.0
우정에쉐르2,59.75,5,2004,테헤란로77길 8,1302.0920502092051,16,2020-09-19,0.9333333333333333
경남아너스빌,84.99,4,2004,갈현로11길 46,705.965407695023,16,2020-09-19,1.0
응암푸르지오,59.58,5,2008,백련산로 146,973.4810339039947,12,2020-09-19,1.0
미원1,58.98,7,1996,망원로11길 38,813.8351983723296,24,2020-09-19,0.8174925682500677
강변동양,84.95,4,2001,둘레길 21,2319.011183048852,19,2020-09-19,1.0
송파레미니스,84.94,8,2017,성내천로 6,1412.7619496114905,3,2020-09-19,1.0
서초포레스타3단지,59.96,10,2014,헌릉로8길 22,2151.4342895263508,6,2020-09-19,1.0
서초프레스턴,244.42,5,2005,명달로22길 81,744.6199165371083,15,2020-09-19,1.0
현대파크빌,153.61,16,1999,공원로 41,481.73947008658286,21,2020-09-19,1.0
삼성,73.59,9,1989,문정로 197,1168.6370430765048,31,2020-09-19,0.0
현대(관악),116.86,10,1992,관악로 304,727.3660790689714,28,2020-09-20,0.3523601479241498
목동센트럴아이파크위브1단지,59.88,14,2020,남부순환로83길 17,1636.6065464261856,0,2020-09-20,1.0
황학아크로타워,134.301,5,2010,퇴계로 447,632.906679771558,10,2020-09-20,1.0
다성이즈빌(320),57.78,6,2017,올림픽로89길 39-4,1142.2637590861889,3,2020-09-20,1.0
현대슈퍼빌,147.86,10,2003,서초중앙로 15,1349.2492898687947,17,2020-09-20,1.0
동림아파트,55.27,5,2002,증가로20나길 21,303.96236656413964,18,2020-09-20,0.9287712379549449
서초힐스,74.97,16,2012,양재대로2길 90,1854.0749633186608,8,2020-09-20,1.0
마포래미안푸르지오2단지,114.2802,24,2014,마포대로 195,1793.8365526136638,6,2020-09-20,1.0
성진파크뷰아파트,49.71,8,2019,도당로 32,442.56688795011064,1,2020-09-20,1.0
선구,75.06,1,2003,갈현로 232,479.6163069544364,17,2020-09-20,1.0
강변힐스테이트,59.54,18,2004,신수로 15,1729.9294591871012,16,2020-09-20,1.0
성진파크뷰아파트,45.51,4,2019,도당로 32,461.43704680290045,1,2020-09-20,1.0
전농동삼성래미안,59.93,3,2000,전농로 192,1193.058568329718,20,2020-09-20,1.0
센트라스,84.98,9,2016,왕십리로 410,1882.795951988703,4,2020-09-20,1.0
동아,99.29,4,1995,송월길 147,883.2712257024876,25,2020-09-20,0.33333333333333326
갈현동현대,59.25,10,1997,갈현로33길 24,827.0042194092827,23,2020-09-20,1.0
초원,59.93,5,1999,미성5길 40,614.0497246787919,21,2020-09-21,1.0
동원베네스트,84.82,2,2002,고덕로 52-11,922.5418533364773,18,2020-09-21,1.0
DUO302,15.97,18,2014,난계로 169,939.261114589856,6,2020-09-21,1.0
그린,96.25,5,2004,효령로29길 76,1064.935064935065,16,2020-09-21,0.9333333333333333
센트레빌아스테리움서울,149.05,29,2013,한강대로 372,1096.9473331096947,7,2020-09-21,1.0
엘리시아,61.54,6,2009,목동중앙북로 108,869.3532661683458,11,2020-09-21,1.0
벨루체팰리스,104.65,4,2007,동광로24길 22,1089.345437171524,13,2020-09-21,1.0
정은스카이빌(959),84.2,4,2006,목동중앙북로24길 83,748.2185273159145,14,2020-09-21,1.0
신동아,84.46,8,1993,매봉로 134,1035.9933696424343,27,2020-09-21,0.5999999999999999
동부센트레빌,114.96,20,2003,영신로 191,1122.1294363256786,17,2020-09-21,1.0
길훈,42.57,2,1987,지양로 101,645.9948320413437,33,2020-09-21,0.0
상계주공14(고층),90.94,14,1989,동일로228길 23,892.8964152188256,31,2020-09-21,0.0
송도그린빌A동,61.18,5,2003,모래내로24길 54,531.2193527296503,17,2020-09-21,1.0
한진해모로,84.93,7,2007,양원역로6가길 19,753.5617567408453,13,2020-09-21,1.0
대조리치빌III,36.3,6,2014,통일로 745-6,840.2203856749312,6,2020-09-21,1.0
수락산벨리체,134.94,5,2000,동일로250길 18,537.2758262931674,20,2020-09-21,1.0
신트리4,59.73,3,2000,신정로 260,1096.6013728444668,20,2020-09-21,1.0
래미안서초유니빌,43.625,3,2003,서초중앙로 26,825.214899713467,17,2020-09-21,1.0
비즈트위트오렌지,15.54,3,2013,공원로6가길 8,643.5006435006435,7,2020-09-21,1.0
쌍용플레티넘밸류,84.9,10,2007,테헤란로4길 46,1472.3203769140164,13,2020-09-21,1.0
신미,75.48,2,1981,신길로23길 20,1086.380498145204,39,2020-09-21,0.0
신답극동,105.59,13,1987,서울시립대로 5,833.4122549483852,33,2020-09-21,0.0
서울숲푸르지오,84.6,2,2007,금호로 15,1713.9479905437354,13,2020-09-21,1.0
남서울,42.97,1,1977,신길로 108,2117.7565743542004,43,2020-09-21,0.0
우성1,62.37,15,1985,도림로 187,978.0343113676447,35,2020-09-21,0.0
천호네스빌,50.46,6,2003,성안로25길 40,620.2933016250495,17,2020-09-21,1.0
청남,54.47,1,2003,남부순환로31길 24,348.8158619423536,17,2020-09-21,0.8666666666666667
광남벨라스(1차),129.05,7,2004,동교로 126,736.1487795428128,16,2020-09-21,1.0
상림마을7단지아이파크(702~705동)BL1-4,84.83,3,2008,진관4로 77,943.062595779795,12,2020-09-21,1.0
한남더힐,240.23,3,2011,독서당로 111,3038.75452691171,9,2020-09-21,1.0
영풍마드레빌,84.8485,24,2004,용마산로129가길 41,830.8927087691592,16,2020-09-21,1.0
우공팰리스,81.69,10,2008,강서로7길 82,520.2595176888236,12,2020-09-21,1.0
월드컵현대,59.76,9,1998,수색로 154,1171.3520749665329,22,2020-09-21,1.0
(1101-1),14.46,7,2012,도림천로19길 12,795.2973720608575,8,2020-09-21,1.0
삼호그린,84.72,13,1999,사당로2가길 188,1038.7157695939566,21,2020-09-21,1.0
현대뜨레비앙,48.54,6,2003,돈화문로11가길 59,673.6711990111248,17,2020-09-21,1.0
왕궁,65.46,1,1975,개봉로1길 22,282.6153376107547,45,2020-09-21,0.0
한진로즈힐,84.93,2,2004,양천로24가길 59,735.9001530672318,16,2020-09-21,1.0
동문,59.64,16,1998,오현로 128,835.010060362173,22,2020-09-21,1.0
극동옥정,84.93,6,1998,한림말길 24,1212.763452254798,22,2020-09-21,0.9225150983032795
서초화원그랑빌,84.59,8,2002,반포대로21길 27,1229.4597470150136,18,2020-09-21,0.8
롯데2,84.708,9,2003,우장산로 47,849.9787505312368,17,2020-09-21,1.0
한진타운,84.21,6,1994,뚝섬로 310,1721.8857617860112,26,2020-09-21,0.8476736006157444
서울대역마에스트로,19.46,18,2012,남부순환로218길 1,770.8119218910585,8,2020-09-21,1.0
신창,58.68,12,1998,덕릉로62길 13,659.5092024539878,22,2020-09-21,0.5333333333333334
닷컴캐슬,73.19,4,2003,남부순환로255나길 8,573.848886459899,17,2020-09-21,1.0
서초대우,186.05,10,2000,명달로 20,913.7328675087341,20,2020-09-21,0.7739760316291208
상계주공3(고층),59.28,3,1987,동일로215길 48,1194.331983805668,33,2020-09-21,0.0
한강그린1차아파트,56.16,4,2011,동교로1길 22,863.6039886039887,9,2020-09-22,1.0
해태드림타운,84.84,8,1997,은평로 82,548.0905233380481,23,2020-09-22,0.8634359342329213
마곡엠밸리4단지,114.86,9,2014,마곡서로 175,1218.875152359394,6,2020-09-22,1.0
대성아파트(749-11),57.04,5,2002,구로동로20길 52-9,455.82047685834505,18,2020-09-22,1.0
보라매e편한세상,133.3,12,2010,보라매로 70,1031.5078769692423,10,2020-09-22,1.0
레그노시티,20.858,16,2020,봉우재로33길 85,1284.87870361492,0,2020-09-22,1.0
래미안마포리버웰,84.98,11,2015,토정로31길 23,2106.3779712873616,5,2020-09-22,1.0
위례중앙푸르지오2단지,106.0944,18,2016,위례광장로 290,1837.9857937836493,4,2020-09-22,1.0
(770-8),49.88,4,1994,구로동로22길 88-14,324.7794707297514,26,2020-09-22,0.2666666666666666
레그노시티,25.451,15,2020,봉우재로33길 85,1131.5861852186554,0,2020-09-22,1.0
금천롯데캐슬골드파크3차,59.9662,20,2018,시흥대로 291-1,1559.2116892516117,2,2020-09-22,1.0
삼익4단지아파트,59.04,14,1994,동일로198가길 13,872.289972899729,26,2020-09-22,0.7777186685552987
반포주공1단지,106.25,4,1974,신반포로 9,3178.3529411764707,46,2020-09-22,0.0
동도센트리움(601),84.983,1,2005,한글비석로19길 15,957.8386265488391,15,2020-09-22,1.0
아크로리버파크,59.98,20,2016,신반포로15길 19,4001.3337779259755,4,2020-09-22,1.0
(740-24),34.6,5,2000,구로동로12길 59-16,289.01734104046244,20,2020-09-22,1.0
경남아너스빌,70.94,1,2000,양평로17길 9,916.2672681138991,20,2020-09-22,1.0
SM벨리체,55.76,7,2020,서오릉로 107,948.7087517934003,0,2020-09-22,1.0
홍제비콘드림힐,84.9,13,2006,세무서8길 49,730.2709069493521,14,2020-09-22,1.0
강변삼성스위트,72.84,20,1999,원효로 40,1537.6166941241077,21,2020-09-22,0.9965784284662088
한남힐스테이트,130.445,3,2003,장문로 141,1494.8829008394343,17,2020-09-22,1.0
학마을1단지,49.98,10,2000,신정로14길 6,1060.4241696678673,20,2020-09-22,1.0
목동센트럴아이파크위브4단지,59.68,4,2020,남부순환로83길 47,1625.3351206434315,0,2020-09-22,1.0
마포현대,54.81,15,1988,마포대로11길 84,1505.19978106185,32,2020-09-22,0.0
늘푸른,84.95,4,2004,북아현로6길 65-21,1308.4167157151264,16,2020-09-22,0.9333333333333333
롯데캐슬아이비,150.8,23,2005,국제금융로 86,1187.002652519894,15,2020-09-22,1.0
한일써너스빌리젠시1단지(101동),84.74,10,2008,용마산로115길 127,920.4625914562191,12,2020-09-22,1.0
오륜파크빌,47.83,6,2005,양재대로72길 52,593.7696006690362,15,2020-09-22,1.0
다성리치빌,84.94,3,2001,백제고분로37길 12,793.5012950317872,19,2020-09-22,0.7333333333333334
홍익,84.5,4,1995,가좌로 342,485.20710059171597,25,2020-09-22,0.7079879189072641
장안동공감대(375-11),104.24,3,2004,장한로17길 13-1,481.58096699923254,16,2020-09-22,0.9333333333333333
갤러리아포레,169.09,6,2011,서울숲2길 32-14,1951.6233958247087,9,2020-09-22,1.0
해담채3,13.39,12,2014,가마산로27길 11-15,746.8259895444361,6,2020-09-22,1.0
더샵스타시티,127.95,40,2007,아차산로 262,1320.8284486127393,13,2020-09-22,1.0
갤러리아팰리스,176.171,45,2005,올림픽로 212,1646.127909814896,15,2020-09-22,1.0
강변,66.08,5,1971,이촌로 104,1225.7869249394673,49,2020-09-22,0.0
신계,84.15,2,2003,통일로48나길 32,475.34165181224,17,2020-09-22,1.0
송파파인타운5단지,84.93,3,2008,충민로4길 5,1530.6723183798422,12,2020-09-22,1.0
남해그린힐,75.42,10,2001,불광로6길 20,450.80880403076105,19,2020-09-22,0.7333333333333334
화곡3차보람,84.79,11,2004,등촌로13바길 18-11,659.2758580021228,16,2020-09-22,1.0
우성,47.38,14,1992,화곡로68길 115,1019.4174757281553,28,2020-09-22,0.22146187299249076
타워팰리스1,120.78,28,2002,언주로30길 56,1987.083954297069,18,2020-09-22,1.0
샹그레빌아파트,80.16,1,2004,회기로5길 100,867.0159680638723,16,2020-09-22,1.0
덕수궁롯데캐슬,56.2897,10,2016,서소문로9길 28,1687.697749321812,4,2020-09-22,1.0
상계우방유쉘,139.16,8,2000,동일로230가길 15,517.3900546133947,20,2020-09-22,0.6666666666666667
독립문극동(200-0),102.45,19,1998,독립문공원길 17,1102.9770619814544,22,2020-09-22,1.0
연지토성,60.09,8,2000,강동대로9길 20,1198.2026959560658,20,2020-09-22,0.6666666666666667
상계대림e편한세상,55.77,16,2002,동일로239길 68,699.3006993006993,18,2020-09-22,1.0
명지해드는터,84.82,4,2005,목동중앙서로11길 49-5,1002.1221410044801,15,2020-09-22,1.0
우영,62.47,5,2004,국회대로7길 21,672.3227149031535,16,2020-09-22,1.0
경남,52.71,2,1989,양원역로 37,667.8049705938153,31,2020-09-23,0.0
풍림아파트A,59.94,4,2001,섬밭로 139,1122.7894561227895,19,2020-09-23,1.0
메이저,84.86,1,2001,양재대로87길 18,664.6240867310865,19,2020-09-23,1.0
현대2차,82.68,10,1993,동일로231길 86,700.2902757619738,27,2020-09-23,0.6129283016944965
트리마제,84.8111,33,2017,왕십리로 16,2829.81826671273,3,2020-09-23,1.0
그린스테이트,73.12,8,2010,시루봉로 2,434.9015317286652,10,2020-09-23,1.0
노블레스(383-8),122.49,7,2004,성안로 182,616.3768470895584,16,2020-09-23,1.0
DMC월드,80.931,11,2002,증산로 333,809.3314057654052,18,2020-09-23,1.0
DMC래미안클라시스,114.88,1,2000,증가로 191,818.2451253481895,20,2020-09-23,1.0
대동아파트,59.86,4,2017,매봉로4가길 13,651.5202138322753,3,2020-09-23,1.0
포레스트힐시티,13.53,11,2014,영중로6길 12,776.0532150776054,6,2020-09-23,1.0
금호,106.24,4,2002,강서로37길 71,395.33132530120486,18,2020-09-23,1.0
대림역와이즈플레이스,24.009,14,2012,가마산로 268,708.0678079053688,8,2020-09-23,1.0
지오베르크,84.99,15,2004,백범로 346,1182.4920578891636,16,2020-09-23,1.0
한강로얄스위트,118.04,6,2005,망원로 36,646.3910538800407,15,2020-09-23,1.0
미성1차,153.32,8,1982,압구정로11길 17,2331.724497782416,38,2020-09-23,0.0
계명나동(56-29),72.48,6,2002,초록마을로 75-3,368.37748344370857,18,2020-09-23,0.8
풍림지오빌,42.69,5,2002,테헤란로5길 36,1154.8371984071212,18,2020-09-23,0.8
한진로즈힐,81.68,10,2004,양천로24가길 59,734.5739471106757,16,2020-09-23,1.0
삼성,84.75,4,1999,중계로14나길 25,884.9557522123894,21,2020-09-23,1.0
신성미소지움,59.94,8,2003,시흥대로161길 50,970.970970970971,17,2020-09-23,1.0
목동신시가지3,116.12,9,1986,목동서로 100,1980.7096107475024,34,2020-09-23,0.0
래미안퍼스티지,198.22,20,2009,반포대로 275,2219.7558268590456,11,2020-09-23,1.0
해피존,83.92,5,2002,월드컵로26길 43,673.2602478551,18,2020-09-23,0.9287712379549449
베로니스,52.1,12,2017,연서로17길 9,917.4664107485604,3,2020-09-23,1.0
고척파크푸르지오,114.99,8,2009,중앙로 121,773.9803461170537,11,2020-09-23,1.0
"가락3차쌍용스윗닷홈101동,102동",84.99,2,2005,송이로21길 23,1235.4394634662901,15,2020-09-23,1.0
상암월드컵파크5단지,84.67,3,2005,상암산로1길 52,1240.1086571394826,15,2020-09-23,1.0
천왕연지타운2단지,101.92,10,2014,오리로 1102-10,832.0251177394034,6,2020-09-23,1.0
뚝섬현대,84.22,7,1992,상원길 42,1264.5452386606507,28,2020-09-23,0.30157079707046747
이태원(이테크빌),57.57,7,2002,이태원로20길 31,1737.0158068438423,18,2020-09-23,0.8
해피존2,82.78,5,2005,월드컵북로12길 106,628.1710558105823,15,2020-09-23,1.0
신도림롯데아파트,131.3,3,1999,새말로 31,753.9984767707539,21,2020-09-23,0.9000000000000001
엘리시아,65.28,3,2009,목동중앙북로 108,687.8063725490196,11,2020-09-23,1.0
디팰리스,148.111,17,2020,새문안로2길 10,2167.293448832295,0,2020-09-23,1.0
우성1,51.57,6,1988,뚝섬로41길 20,1702.5402365716502,32,2020-09-23,0.0
천우네오젠(693),138.21,2,2006,강서로47바길 43,466.68113739960927,14,2020-09-23,1.0
영화노블레스아파트,24.39,10,2019,통일로65길 3-1,943.0094300943009,1,2020-09-23,1.0
한보미도맨션2,115.05,5,1985,삼성로 150,2555.4106910039113,35,2020-09-23,0.0
묵동자이(2단지),101.91,15,2010,동일로 932,1000.883132175449,10,2020-09-23,1.0
타워팰리스1,244.66,47,2002,언주로30길 56,2186.708084688956,18,2020-09-23,1.0
리치,74.81,3,2007,상암로4길 33,654.9926480417056,13,2020-09-23,1.0
공덕파크자이,84.9802,17,2015,백범로 152,1859.2566268377811,5,2020-09-23,1.0
이튼타워리버3차,84.98,11,2007,능동로 18,1529.7717109908212,13,2020-09-23,1.0
성지,84.24,5,1984,큰우물로 75,792.9724596391263,36,2020-09-23,0.0
서울가든,64.39,12,1989,중앙로5길 62,900.7609877310141,31,2020-09-23,0.0
삼성쉐르빌,84.74,15,2006,무학로6길 50,1097.4746282747228,14,2020-09-23,1.0
염창힐스테이트,84.969,5,2009,양천로73길 24,1165.1308124139393,11,2020-09-23,1.0
주공1,84.29,12,2001,한천로 248,848.2619527820618,19,2020-09-23,1.0
그랜드,57.74,10,1997,고척로27바길 47,510.9109802563214,23,2020-09-23,1.0
갤러리아팰리스,162.419,28,2005,올림픽로 212,1551.5426150881362,15,2020-09-23,1.0
당산효성타운2차,84.38,3,2001,당산로42길 7,1540.6494429959707,19,2020-09-23,1.0
극동,59.4,11,1984,동남로18길 9,2020.2020202020203,36,2020-09-23,0.0
장안현대홈타운(336),58.42,19,2003,장한로18길 82-14,1283.8069154399177,17,2020-09-23,1.0
신성그랜드타워,154.08,3,1996,면목로 127,431.59397715472477,24,2020-09-24,0.3999999999999999
대림아르빌,111.8,11,2003,도림천로12길 6,661.8962432915921,17,2020-09-24,1.0
서초네이처힐3단지,84.61,15,2013,태봉로2길 60,1867.3915612811725,7,2020-09-24,1.0
연서노벨(463-16),84.68,6,2011,연서로19길 4,537.3169579593764,9,2020-09-24,1.0
해가든,114.44,14,2010,서달로 150,1101.0136315973436,10,2020-09-24,1.0
상도파크자이,71.252,12,2016,장승배기로11가길 11,1880.6489642396004,4,2020-09-24,1.0
인왕산현대,114.72,16,2000,통일로34길 46,869.9442119944212,20,2020-09-24,1.0
동익,60.01,13,1993,광평로39길 3,2216.2972837860357,27,2020-09-24,0.35849625007211555
미동,55.57,5,1969,충정로7길 9,629.83624257693,51,2020-09-24,0.0
금성타운,47.49,6,1997,양재대로121길 26,421.14129290376917,23,2020-09-24,0.46666666666666656
극동그린,114.32,15,1997,독서당로 175,1198.3904828551435,23,2020-09-24,1.0
방화메이빌,50.5074,7,2017,금낭화로 162,926.596894712458,3,2020-09-24,1.0
창동주공4단지,36.16,13,1991,덕릉로 349,829.6460176991151,29,2020-09-24,0.22194038275839312
브라운스톤휘경,84.74,13,2013,망우로20길 86,1067.9726221383055,7,2020-09-24,1.0
시가오?,84.98,5,2004,양재대로122가길 30,623.676159096258,16,2020-09-24,0.9333333333333333
천호네스빌,31.32,3,2003,성안로25길 40,542.7841634738187,17,2020-09-24,1.0
SM엘루이,84.94,3,2012,시흥대로37길 20,641.629385448552,8,2020-09-24,1.0
한강로대우아이빌,31.05,15,2004,한강대로43길 13,966.1835748792271,16,2020-09-24,1.0
대림아르빌,84.76,10,2003,도림천로12길 6,764.5115620575743,17,2020-09-24,1.0
거성푸르뫼2,132.68,2,1994,고척로 82,403.22580645161287,26,2020-09-24,0.5663903351258113
로얄동아,59.91,2,1999,뚝섬로52마길 56,1335.3363378400936,21,2020-09-24,1.0
세양청마루,57.44,14,2003,독막로 209,1444.9860724233984,17,2020-09-24,1.0
내이처해밀,14.89,3,2012,경인로114길 62,792.4781732706514,8,2020-09-24,1.0
가우디캐슬,29.98,6,2019,왕산로22길 16,867.244829886591,1,2020-09-24,1.0
창동주공18단지,71.89,1,1988,노해로70길 126,887.4669634163305,32,2020-09-24,0.0
현대아파트101동,59.83,8,1999,학동로64길 14,2498.746448270099,21,2020-09-24,1.0
대림(169-8),125.4,14,1990,사당로17길 52,1136.3636363636363,30,2020-09-24,0.0
미원2,59.77,3,1997,월드컵로29길 68,870.0016730801404,23,2020-09-24,0.46666666666666656
그린빌아파트,84.69,7,2002,돌곶이로41가길 54,566.7729365922777,18,2020-09-24,1.0
대치동우정에쉐르1,59.96,10,2004,삼성로85길 38,1167.4449633088725,16,2020-09-24,1.0
DMC월드,83.151,14,2002,증산로 333,859.8814205481594,18,2020-09-24,1.0
대백세인트빌,111.91,5,2003,동광로39길 7,1103.565365025467,17,2020-09-24,0.8666666666666667
뉴월드(402-112),67.98,7,2005,응암로20길 22-17,541.3356869667549,15,2020-09-25,1.0
금호베스트빌,59.79,12,2001,난계로 114-31,1336.3438702124101,19,2020-09-25,1.0
동익파크2동(355-98),84.95,8,1991,서오릉로23길 9-8,447.32195409064155,29,2020-09-25,0.14406426982957873
다성이즈빌아파트,84.93,6,2005,양재대로126길 49,482.75050041210403,15,2020-09-25,1.0
