경도,위도,계약일자,인덱스
127.062319621466,37.4885748916117,2019-09-16,2874
127.051319226082,37.5157864094542,2019-09-18,2899
127.027308336345,37.5304773192153,2020-02-17,4300
127.050947634813,37.5061147390354,2020-02-19,4318
127.094906024141,37.4821109112761,2021-02-08,6797
127.044267604323,37.5019668595977,2021-12-04,8160
127.057979748729,37.4915930435874,2021-12-08,8170
127.049734781209,37.4942068396456,2022-09-27,8799
127.077191033018,37.4956264931259,2023-02-17,9035
127.049734781209,37.4942068396456,2023-11-03,10328
127.089707610517,37.4936295805412,2023-11-13,10365
127.089707610517,37.4936295805412,2024-04-27,11154
127.055951963548,37.4984454570661,2024-10-16,12594
127.028325815765,37.5336032834133,2024-10-15,12581
