단지명,전용면적(㎡),층,건축년도,도로명,면적당 단가(만원),아파트 나이,구,계약일자,계약년월,alpha,경도,위도
푸른마을아파트101동~111동,59.76,8,1994,일원로14길 25,6.688619749065466,18,강남구,2012-07-07,201207,0.8,127.080874756987,37.484761123247
대치삼성,97.35,22,2000,도곡로78길 22,6.9641715353935645,12,강남구,2012-07-07,201207,0.6,127.0588476129,37.4966357303128
삼성2차,162.51,1,1999,삼성로57길 45,6.451744728873856,13,강남구,2012-07-07,201207,0.5666666666666667,127.057541231949,37.4970408356541
대치아이파크,114.97,11,2008,선릉로 222,7.1047264768257925,4,강남구,2012-07-07,201207,0.8666666666666667,127.054749094366,37.4958669797852
현대힐스테이트2단지,40.553,17,2008,삼성로111길 8,7.212478703652413,4,강남구,2012-07-07,201207,0.8666666666666667,127.051739053534,37.5147315113728
럭키(963),124.1,13,1995,논현로 213,6.681787436906165,17,강남구,2012-07-08,201207,0.43333333333333335,127.040954182934,37.4915488149067
은마,76.79,9,1980,삼성로 212,6.948707490313566,32,강남구,2012-07-08,201207,0.0,127.065915414443,37.4996157705058
대림아크로빌,177.255,31,2002,언주로30길 13,6.8600646201461215,10,강남구,2012-07-09,201207,0.6666666666666667,127.050686658826,37.4881276085659
현대4차저층(51~56동),117.91,1,1977,압구정로33길 70,7.273632094443816,35,강남구,2012-07-09,201207,0.0,127.030945158679,37.5328566873699
개포2차현대아파트(220),77.75,2,1988,언주로 103,6.614699738469213,24,강남구,2012-07-09,201207,0.19999999999999996,127.052911761665,37.481343842076
타워팰리스1,174.67,3,2002,언주로30길 56,7.182936108465031,10,강남구,2012-07-09,201207,0.6666666666666667,127.053483219997,37.4880695220981
개포주공1단지,35.44,4,1982,개포로 310,7.261887489526571,30,강남구,2012-07-10,201207,0.0,127.057847776427,37.4802867173431
상지리츠빌9차,200.88,4,2004,압구정로77길 27,6.7230413765495625,8,강남구,2012-07-10,201207,0.7333333333333334,127.047889941387,37.5268977545178
현대힐스테이트2단지,84.236,22,2008,삼성로111길 8,7.128093245822129,4,강남구,2012-07-10,201207,0.8666666666666667,127.051739053534,37.5147315113728
삼성동힐스테이트 1단지,114.463,3,2008,학동로68길 29,6.886002523610047,4,강남구,2012-07-10,201207,0.8666666666666667,127.04718779295,37.5165602922999
개포주공1단지,50.38,5,1982,개포로 310,7.250840885098988,30,강남구,2012-07-11,201207,0.0,127.057847776427,37.4802867173431
"대치우성아파트1동,2동,3동,5동,6동,7동",115.59,12,1984,영동대로 230,6.772826348517221,28,강남구,2012-07-11,201207,0.06666666666666665,127.068471209933,37.5009601493207
SK허브프리모,67.5,5,2006,강남대로 240,6.491116870275848,6,강남구,2012-07-12,201207,0.8,127.034429700831,37.4852596091178
개포우성2,84.69,11,1984,남부순환로 2912,7.122718098206153,28,강남구,2012-07-13,201207,0.06666666666666665,127.056142941592,37.4907059879875
상지리츠빌카일룸3차,196.42,17,2009,압구정로79길 72,7.456445672862716,3,강남구,2012-07-13,201207,0.9,127.053405269503,37.5253171040606
"현대14차(203,204,205,206동)",84.98,5,1987,압구정로29길 57,7.231777677879685,25,강남구,2012-07-13,201207,0.16666666666666663,127.026936731619,37.5312337952168
대림역삼,59.66,15,1997,언주로 316,6.538744612676225,15,강남구,2012-07-14,201207,0.5,127.046284915927,37.496232263246
신현대12차,107.16,7,1982,압구정로 151,6.887392584463252,30,강남구,2012-07-14,201207,0.0,127.024454982256,37.5267858196588
신동아,39.53,5,1992,광평로47길 17,6.808643295080198,20,강남구,2012-07-14,201207,0.33333333333333337,127.098186321626,37.4879086504963
아카데미스위트1,83.0,16,2004,언주로30길 21,6.632049397577072,8,강남구,2012-07-14,201207,0.7333333333333334,127.052014632509,37.4888657676631
타워팰리스1,164.97,19,2002,언주로30길 56,7.0196411032748856,10,강남구,2012-07-15,201207,0.6666666666666667,127.053483219997,37.4880695220981
신현대9차,108.88,9,1982,압구정로 151,6.9360077919340215,30,강남구,2012-07-16,201207,0.0,127.024454982256,37.5267858196588
역삼우정에쉐르2,50.72,2,2004,테헤란로48길 10,6.507795493469328,8,강남구,2012-07-16,201207,0.7333333333333334,127.045872920554,37.502652453062
개포주공3단지,35.87,3,1982,삼성로 11,7.298145900990068,30,강남구,2012-07-16,201207,0.0,127.067960222798,37.4844402093504
대림아크로빌,84.072,3,2002,언주로30길 13,6.5704262666409425,10,강남구,2012-07-16,201207,0.6666666666666667,127.050686658826,37.4881276085659
대치아이파크,84.93,16,2008,선릉로 222,7.210860019553469,4,강남구,2012-07-16,201207,0.8666666666666667,127.054749094366,37.4958669797852
한양1차(영동한양),91.21,5,1977,압구정로 321,7.182082481572116,35,강남구,2012-07-17,201207,0.0,127.038376464689,37.5295119716843
대치삼성,84.58,22,2000,도곡로78길 22,6.864506601610233,12,강남구,2012-07-17,201207,0.6,127.0588476129,37.4966357303128
마일스디오빌,36.29,15,2004,학동로 165,6.7174104394193135,8,강남구,2012-07-17,201207,1.0,127.02897846584,37.5138611699241
럭키(963),84.97,6,1995,논현로 213,6.647507168607893,17,강남구,2012-07-18,201207,0.43333333333333335,127.040954182934,37.4915488149067
대치아이파크,84.95,20,2008,선릉로 222,7.080812947705455,4,강남구,2012-07-18,201207,0.8666666666666667,127.054749094366,37.4958669797852
개포주공4단지,50.39,2,1982,삼성로 14,7.195635783818735,30,강남구,2012-07-18,201207,0.0,127.068451024326,37.4861548149371
