"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2020-07-11 ~ 2021-07-11"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 강북구 미아동","318-5","0318","0005","성북프라자","68.6750","202107","11","53,000","-","6","-","-","2009","도봉로33길 18","-","-","-","-"
"2","서울특별시 성북구 하월곡동","228","0228","0000","꿈의숲푸르지오","59.6500","202107","11","81,500","-","9","-","-","2010","오패산로16가길 40","-","-","-","-"
"3","서울특별시 동대문구 전농동","10","0010","0000","전농SK","114.3000","202107","11","105,000","-","18","-","-","2000","사가정로 148","-","-","-","-"
"4","서울특별시 성동구 마장동","825","0825","0000","대성유니드","59.7000","202107","11","101,000","-","11","-","-","2004","마장로37길 7","-","-","-","-"
"5","서울특별시 용산구 한강로3가","89","0089","0000","쌍용스윗닷홈","75.9700","202107","11","129,000","-","11","-","-","2003","한강대로10길 14","-","-","-","-"
"6","서울특별시 성북구 석관동","410","0410","0000","래미안아트리치","84.9400","202107","11","130,000","-","8","-","-","2019","돌곶이로8길 22","-","-","-","-"
"7","서울특별시 광진구 자양동","642","0642","0000","자양현대5","59.7200","202107","11","100,000","-","14","-","-","1998","뚝섬로54길 74","-","-","-","-"
"8","서울특별시 도봉구 창동","821","0821","0000","초안산신도브래뉴","59.9753","202107","11","61,000","-","14","-","-","2005","우이천로4라길 11-14","-","-","-","-"
"9","서울특별시 중랑구 면목동","193-1","0193","0001","면목한신","35.3000","202107","11","38,200","-","14","-","-","1988","중랑천로 20","-","-","-","-"
"10","서울특별시 동대문구 장안동","336","0336","0000","장안현대홈타운(336)","59.5400","202107","11","83,500","-","3","-","-","2003","장안벚꽃로 107","-","-","-","-"
"11","서울특별시 중랑구 상봉동","497","0497","0000","태영데시앙1","84.9353","202107","11","95,000","-","14","-","-","2003","상봉중앙로8길 104","-","-","-","-"
"12","서울특별시 중랑구 면목동","1073","1073","0000","용마한신2","59.9400","202107","11","65,500","-","8","-","-","1998","사가정로71길 11","-","-","-","-"
