"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2023-06-03 ~ 2024-06-02"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 동대문구 전농동","10","0010","0000","전농SK","59.3400","202406","02","68,000","110","21","개인","개인","2000","사가정로 148","-","중개거래","서울 동대문구","25.01.14"
"2","서울특별시 중랑구 망우동","226","0226","0000","경남","81.9100","202406","02","61,000","1","2","개인","개인","1989","양원역로 37","-","중개거래","서울 중랑구","24.08.13"
"3","서울특별시 중랑구 중화동","208-4","0208","0004","범양프레체","17.9400","202406","02","11,000","-","14","개인","개인","2012","중랑천로14길 58","-","중개거래","서울 중랑구","24.07.01"
"4","서울특별시 용산구 이촌동","415","0415","0000","한강(대우)","84.9800","202406","02","208,500","109","22","개인","개인","2000","이촌로65가길 3","-","중개거래","서울 용산구","24.08.23"
"5","서울특별시 용산구 이촌동","300-23","0300","0023","한강맨숀","120.5600","202406","02","419,940","24","1","개인","개인","1971","이촌로 248","-","중개거래","서울 용산구","24.06.12"
"6","서울특별시 동대문구 장안동","329-3","0329","0003","래미안장안2차","81.0500","202406","02","94,000","223","8","개인","개인","2007","장안벚꽃로 167","-","중개거래","서울 동대문구","24.07.01"
"7","서울특별시 용산구 이촌동","301-160","0301","0160","현대맨숀","139.9700","202406","02","254,980","21","5","개인","개인","1974","이촌로 303","-","중개거래","서울 용산구","24.06.26"
"8","서울특별시 성북구 장위동","320","0320","0000","래미안장위퍼스트하이","84.9400","202406","02","99,700","508","4","개인","개인","2020","한천로 713","-","중개거래","서울 성북구","24.07.31"
"9","서울특별시 성북구 정릉동","239","0239","0000","정릉풍림아이원","59.8800","202406","02","50,000","124","13","개인","개인","2005","솔샘로 120","-","중개거래","서울 성북구","24.07.19"
"10","서울특별시 중랑구 면목동","1543","1543","0000","한양수자인사가정파크","84.9862","202406","02","104,000","102","16","개인","개인","2019","사가정로72길 26","-","중개거래","서울 중랑구","24.08.26"
"11","서울특별시 동대문구 답십리동","1003","1003","0000","래미안위브","84.9800","202406","02","125,000","202동","5","개인","개인","2014","답십리로 130","-","중개거래","서울 동대문구","24.09.24"
"12","서울특별시 종로구 홍파동","199","0199","0000","경희궁자이(2단지)","84.6140","202406","02","222,500","207","12","개인","개인","2017","송월길 99","-","중개거래","서울 서대문구, 서울 종로구","24.07.03"
"13","서울특별시 성동구 하왕십리동","1070","1070","0000","센트라스","84.9600","202406","02","161,000","108","3","개인","개인","2016","왕십리로 410","-","중개거래","서울 성동구","24.10.31"
"14","서울특별시 성동구 행당동","346","0346","0000","행당한진타운","84.7100","202406","02","127,000","102","9","개인","개인","2000","행당로 82","-","중개거래","서울 성동구","24.08.30"
"15","서울특별시 성북구 길음동","1278","1278","0000","길음동동부센트레빌(1278-0)","59.9980","202406","02","67,000","102","1","개인","개인","2003","숭인로2길 61","-","중개거래","서울 성북구","24.08.30"
"16","서울특별시 광진구 구의동","587-54","0587","0054","구의현대7단지현대홈타운","59.9700","202406","02","90,000","703","21","개인","개인","1997","구의강변로3가길 39","-","중개거래","서울 광진구","24.07.30"
"17","서울특별시 광진구 구의동","668","0668","0000","래미안파크스위트","59.9800","202406","02","119,000","107","6","개인","개인","2018","광나루로 545","-","중개거래","서울 광진구","24.09.30"
"18","서울특별시 은평구 녹번동","283","0283","0000","래미안베라힐즈","59.9800","202406","02","96,500","204동","14","개인","개인","2019","통일로 630","-","중개거래","서울 은평구","24.08.30"
"19","서울특별시 은평구 녹번동","282","0282","0000","힐스테이트녹번","59.9380","202406","02","95,000","104동","8","개인","개인","2019","통일로 610","-","중개거래","서울 은평구","24.09.30"
"20","서울특별시 노원구 공릉동","707","0707","0000","시영2단지(라이프)아파트","34.4400","202406","02","28,500","203","3","개인","개인","1994","섬밭로 156","-","중개거래","서울 노원구","24.07.29"
"21","서울특별시 서대문구 천연동","145","0145","0000","천연뜨란채","56.0800","202406","02","79,000","111","11","개인","개인","2006","독립문로8길 54","-","중개거래","서울 서대문구","24.09.27"
"22","서울특별시 은평구 수색동","415-1","0415","0001","e편한세상 수색 에코포레","84.9510","202406","02","74,800","104","7","개인","개인","2003","은평터널로 65","-","중개거래","서울 은평구","24.11.29"
"23","서울특별시 은평구 불광동","248","0248","0000","라이프미성","66.7000","202406","02","64,000","9","5","개인","개인","1988","통일로 780","-","중개거래","서울 은평구","24.07.04"
"24","서울특별시 은평구 응암동","577-7","0577","0007","아르지움주상복합","56.0600","202406","02","59,900","-","6","개인","개인","2024","응암로 217","-","직거래","-","24.12.24"
"25","서울특별시 도봉구 창동","805","0805","0000","동아그린","59.9600","202406","02","62,700","103","11","개인","개인","1996","노해로63다길 34","-","중개거래","서울 도봉구","24.08.19"
"26","서울특별시 은평구 진관동","150","0150","0000","은평뉴타운기자촌11단지","59.7800","202406","02","68,000","1105","3","개인","개인","2015","연서로46길 7","-","중개거래","서울 은평구","24.06.28"
"27","서울특별시 마포구 용강동","508","0508","0000","이편한세상마포리버파크","59.9800","202406","02","160,000","105","15","개인","개인","2016","토정로31길 24","-","중개거래","서울 마포구","24.07.25"
"28","서울특별시 도봉구 창동","347","0347","0000","창동주공3단지(해등마을)","59.3900","202406","02","59,800","317동","8","개인","개인","1991","해등로 50","-","중개거래","서울 도봉구","24.10.07"
"29","서울특별시 마포구 중동","392","0392","0000","마포중동현대","59.8800","202406","02","69,800","103","4","개인","개인","2001","성암로 91","-","중개거래","서울 마포구","24.07.31"
"30","서울특별시 노원구 공릉동","504-7","0504","0007","탑스빌아파트","84.4700","202406","02","43,000","-","2","개인","개인","2004","동일로186길 75","-","중개거래","서울 노원구","24.08.26"
"31","서울특별시 도봉구 창동","45","0045","0000","삼성래미안","73.9200","202406","02","73,000","103","19","개인","개인","1992","노해로66길 21","-","중개거래","서울 도봉구","24.09.05"
"32","서울특별시 도봉구 창동","825","0825","0000","북한산아이파크5차","84.4516","202406","02","80,000","502","3","개인","개인","2004","도봉로136길 28","-","중개거래","서울 도봉구","24.09.05"
