"□ 본 서비스에서 제공하는 정보는 법적인 효력이 없으므로 참고용으로만 활용하시기 바랍니다."
"□ 신고정보가 실시간 변경, 해제되어 제공시점에 따라 공개건수 및 내용이 상이할 수 있는 점 참고하시기 바랍니다."
"□ 본 자료는 계약일 기준입니다. (※ 7월 계약, 8월 신고건 → 7월 거래건으로  제공)"
"□ 통계자료 활용시에는 수치가 왜곡될 수 있으니 참고자료로만 활용하시기  바라며,  외부 공개시에는 반드시 신고일 기준으로 집계되는 공식통계를 이용하여 주시기 바랍니다."
""
"* 국토교통부 실거래가 공개시스템의 궁금하신 점이나 문의사항은 콜센터 1533-2949로 연락 주시기 바랍니다."
"□ 검색조건"
"계약일자 : 2020-09-01 ~ 2021-09-01"
"실거래구분 : 아파트(매매)"
"주소구분 : 지번주소"
"시도 : 서울특별시"
"시군구 : 전체"
"읍면동 : 전체"
"면적 : 전체"
"금액선택 : 전체"
"NO","시군구","번지","본번","부번","단지명","전용면적(㎡)","계약년월","계약일","거래금액(만원)","동","층","매수자","매도자","건축년도","도로명","해제사유발생일","거래유형","중개사소재지","등기일자"
"1","서울특별시 도봉구 창동","661-55","0661","0055","스마트트라움","16.4200","202109","01","16,350","-","12","-","-","2021","도봉로 504","-","-","-","-"
"2","서울특별시 종로구 효제동","126-2","0126","0002","이지마루종로","25.5500","202109","01","35,300","-","10","-","-","2021","김상옥로 55","-","-","-","-"
"3","서울특별시 도봉구 쌍문동","산69-1","0069","0001","금호2","84.4600","202109","01","68,000","-","14","-","-","1991","해등로 241-14","-","-","-","-"
"4","서울특별시 광진구 중곡동","647-1","0647","0001","삼보글로벌101동","78.8400","202109","01","64,000","-","2","-","-","2003","긴고랑로14길 63","-","-","-","-"
"5","서울특별시 중랑구 신내동","650","0650","0000","신내6대주","49.7700","202109","01","67,000","-","9","-","-","1996","신내로19길 42","-","-","-","-"
"6","서울특별시 중랑구 신내동","650","0650","0000","신내6대주","59.7600","202109","01","75,000","-","12","-","-","1996","신내로19길 42","20211206","-","-","-"
"7","서울특별시 중랑구 묵동","379","0379","0000","극동늘푸른","84.0800","202109","01","74,200","-","9","-","-","1999","동일로 941","-","-","-","-"
"8","서울특별시 용산구 문배동","24-4","0024","0004","용산큐브","13.0100","202109","01","19,000","-","19","-","-","2013","백범로90길 12","-","-","-","-"
"9","서울특별시 성동구 성수동1가","707","0707","0000","서울숲한양현대","84.8100","202109","01","139,500","-","5","-","-","1999","상원1길 17","-","-","-","-"
"10","서울특별시 중랑구 묵동","384","0384","0000","신안3","59.8600","202109","01","64,800","-","9","-","-","2000","공릉로2라길 4","-","-","-","-"
"11","서울특별시 성동구 행당동","344","0344","0000","신동아","59.9700","202109","01","99,000","-","2","-","-","1995","독서당로 441","-","-","-","-"
"12","서울특별시 중랑구 면목동","193-1","0193","0001","면목한신","35.3000","202109","01","40,000","-","5","-","-","1988","중랑천로 20","-","-","-","-"
"13","서울특별시 동대문구 답십리동","1000","1000","0000","래미안엘파인아파트","59.9500","202109","01","88,000","-","6","-","-","2011","한천로37길 33","-","-","-","-"
"14","서울특별시 동대문구 전농동","155","0155","0000","전농동삼성래미안","59.9300","202109","01","86,700","-","16","-","-","2000","전농로 192","-","-","-","-"
"15","서울특별시 성북구 길음동","1284","1284","0000","길음뉴타운8단지(래미안)","59.9900","202109","01","97,000","-","2","-","-","2010","길음로 33","-","-","-","-"
"16","서울특별시 용산구 원효로4가","118-16","0118","0016","산호","113.7700","202109","01","250,000","-","11","-","-","1977","원효로 66","-","-","-","-"
"17","서울특별시 용산구 효창동","5-495","0005","0495","효창맨션","59.6000","202109","01","55,000","-","7","-","-","1969","효창원로 157","-","-","-","-"
"18","서울특별시 도봉구 방학동","271-1","0271","0001","신동아아파트1","43.3500","202109","01","45,000","-","7","-","-","1988","시루봉로 107","-","-","-","-"
"19","서울특별시 도봉구 방학동","720-1","0720","0001","대상타운현대아파트","84.7800","202109","01","98,000","-","20","-","-","2001","마들로 616","-","-","-","-"
"20","서울특별시 성북구 길음동","1278","1278","0000","길음동동부센트레빌(1278-0)","114.9120","202109","01","116,500","-","12","-","-","2003","숭인로2길 61","-","-","-","-"
"21","서울특별시 동대문구 전농동","155","0155","0000","전농동삼성래미안","59.9300","202109","01","86,700","-","16","-","-","2000","전농로 192","20220204","-","-","-"
"22","서울특별시 성북구 길음동","1286","1286","0000","길음뉴타운9단지(래미안)","84.9500","202109","01","129,500","-","15","-","-","2010","길음로9길 50","-","-","-","-"
"23","서울특별시 광진구 구의동","611","0611","0000","구의현대2단지","84.8600","202109","01","168,000","-","12","-","-","1996","광나루로56길 32","-","-","-","-"
"24","서울특별시 성동구 행당동","364","0364","0000","행당브라운스톤","84.9400","202109","01","135,000","-","4","-","-","2005","행당로 99","-","-","-","-"
"25","서울특별시 도봉구 쌍문동","723","0723","0000","신원2","60.0000","202109","01","52,500","-","5","-","-","1998","해등로 190","-","-","-","-"
"26","서울특별시 양천구 목동","903","0903","0000","목동신시가지3","64.9800","202109","01","162,000","-","7","-","-","1986","목동서로 100","-","-","-","-"
"27","서울특별시 서대문구 남가좌동","385","0385","0000","DMC파크뷰자이2단지","59.9810","202109","01","125,500","-","17","-","-","2015","가재울미래로 2","-","-","-","-"
"28","서울특별시 강서구 염창동","248-3","0248","0003","삼성하나로","59.2600","202109","01","68,700","-","3","-","-","1994","양천로73길 5","-","-","-","-"
"29","서울특별시 노원구 중계동","593","0593","0000","삼성","59.9000","202109","01","64,400","-","3","-","-","1999","중계로14나길 25","-","-","-","-"
"30","서울특별시 마포구 신수동","190","0190","0000","신수동성원","84.9600","202109","01","133,700","-","18","-","-","1998","독막로28길 7","-","-","-","-"
"31","서울특별시 서대문구 홍제동","454","0454","0000","유원하나","58.7700","202109","01","59,900","-","2","-","-","1996","세검정로 134","-","-","-","-"
"32","서울특별시 강서구 가양동","1490","1490","0000","가양도시개발9-2단지","39.6000","202109","01","67,500","-","4","-","-","1993","허준로 234","-","-","-","-"
"33","서울특별시 노원구 상계동","1309","1309","0000","한일유앤아이","59.8770","202109","01","75,000","-","19","-","-","2005","노원로28길 62","-","-","-","-"
"34","서울특별시 노원구 상계동","1276","1276","0000","청암2단지","59.9600","202109","01","55,900","-","1","-","-","2001","덕릉로94가길 20","20211224","-","-","-"
"35","서울특별시 노원구 공릉동","707","0707","0000","시영2단지(라이프)아파트","39.6000","202109","01","54,800","-","7","-","-","1994","동일로198가길 149","-","-","-","-"
"36","서울특별시 서대문구 남가좌동","385","0385","0000","DMC파크뷰자이1단지","152.1460","202109","01","210,000","-","6","-","-","2015","가재울미래로 2","-","-","-","-"
"37","서울특별시 양천구 신정동","329","0329","0000","목동신시가지14","129.3300","202109","01","230,000","-","12","-","-","1987","목동동로 130","-","-","-","-"
"38","서울특별시 서대문구 북가좌동","481","0481","0000","DMC래미안e편한세상","84.9500","202109","01","131,000","-","8","-","-","2012","수색로 100","-","-","-","-"
"39","서울특별시 강서구 마곡동","746-1","0746","0001","마곡엠밸리12단지","84.8800","202109","01","167,000","-","15","-","-","2016","공항대로 140","-","-","-","-"
"40","서울특별시 서대문구 북아현동","1009","1009","0000","두산","59.9600","202109","01","91,000","-","10","-","-","1999","이화여대8길 62","-","-","-","-"
"41","서울특별시 마포구 공덕동","476","0476","0000","공덕파크자이","84.9802","202109","01","173,700","-","11","-","-","2015","백범로 152","-","-","-","-"
"42","서울특별시 서대문구 홍제동","463","0463","0000","문화촌현대","84.9900","202109","01","83,000","-","3","-","-","2002","문화촌길 6-24","-","-","-","-"
"43","서울특별시 노원구 월계동","923","0923","0000","초안1","59.8500","202109","01","53,900","-","5","-","-","1998","덕릉로60길 185","-","-","-","-"
"44","서울특별시 은평구 대조동","179-16","0179","0016","북한산포레스트","19.0800","202109","01","27,500","-","13","-","-","2021","서오릉로 80-1","-","-","-","-"
"45","서울특별시 양천구 신정동","929-25","0929","0025","이지라이프","84.6800","202109","01","56,800","-","6","-","-","2004","오목로 137","-","-","-","-"
"46","서울특별시 노원구 월계동","13","0013","0000","미성","50.1400","202109","01","87,500","-","12","-","-","1986","마들로 59","-","-","-","-"
"47","서울특별시 노원구 월계동","923","0923","0000","초안1","59.8500","202109","01","53,900","-","5","-","-","1998","덕릉로60길 185","20211015","-","-","-"
"48","서울특별시 서대문구 홍은동","22","0022","0000","유원","64.2600","202109","01","59,300","-","6","-","-","1987","홍은중앙로1길 33","-","-","-","-"
"49","서울특별시 노원구 상계동","749-5","0749","0005","상계주공4(고층)","41.3000","202109","01","65,000","-","14","-","-","1988","동일로214길 21","-","-","-","-"
"50","서울특별시 노원구 상계동","1255","1255","0000","은빛1단지","39.7000","202109","01","45,000","-","15","-","-","1998","동일로245길 162","-","-","-","-"
"51","서울특별시 강서구 화곡동","901-7","0901","0007","제일에비앙","83.8000","202109","01","44,500","-","3","-","-","2004","강서로5가길 42","-","-","-","-"
"52","서울특별시 은평구 응암동","764","0764","0000","백련산힐스테이트4차","84.9800","202109","01","117,000","-","7","-","-","2018","백련산로 37","-","-","-","-"
"53","서울특별시 양천구 목동","962-1","0962","0001","트라팰리스이스턴에비뉴","146.1000","202109","01","262,000","-","15","-","-","2009","오목로 299","-","-","-","-"
"54","서울특별시 송파구 가락동","149-5","0149","0005","청솔","82.7700","202109","01","95,500","-","6","-","-","2005","송이로23길 30-19","-","-","-","-"
"55","서울특별시 송파구 가락동","160-1","0160","0001","주성드림펠리스","109.4500","202109","01","119,000","-","3","-","-","2004","오금로 336","-","-","-","-"
"56","서울특별시 송파구 마천동","175","0175","0000","한보1","95.1400","202109","01","130,000","-","5","-","-","1998","마천로51길 25","-","-","-","-"
"57","서울특별시 송파구 풍납동","401-1","0401","0001","쌍용","84.8500","202109","01","130,000","-","4","-","-","1994","올림픽로47길 9","-","-","-","-"
"58","서울특별시 송파구 장지동","849","0849","0000","송파파인타운3단지","84.9800","202109","01","146,000","-","3","-","-","2008","충민로 152","-","-","-","-"
"59","서울특별시 송파구 잠실동","19","0019","0000","잠실엘스","84.8000","202109","01","250,000","-","18","-","-","2008","올림픽로 99","-","-","-","-"
"60","서울특별시 송파구 잠실동","44","0044","0000","레이크팰리스","84.8200","202109","01","230,000","-","17","-","-","2006","잠실로 88","-","-","-","-"
"61","서울특별시 강남구 도곡동","467","0467","0000","타워팰리스1","164.9700","202109","01","420,000","-","34","-","-","2002","언주로30길 56","-","-","-","-"
"62","서울특별시 송파구 오금동","43","0043","0000","현대(2-4차)","170.3200","202109","01","229,000","-","4","-","-","1985","오금로35길 17","-","-","-","-"
"63","서울특별시 송파구 문정동","150","0150","0000","올림픽훼밀리타운","84.7050","202109","01","197,700","-","3","-","-","1988","중대로 24","-","-","-","-"
"64","서울특별시 송파구 문정동","150","0150","0000","올림픽훼밀리타운","136.3250","202109","01","240,000","-","13","-","-","1988","중대로 24","-","-","-","-"
"65","서울특별시 송파구 마천동","607","0607","0000","송파파크데일2단지","84.9900","202109","01","122,000","-","5","-","-","2011","성내천로47길 38","-","-","-","-"
"66","서울특별시 동작구 사당동","산25-2","0025","0002","현대주택조합","84.9900","202109","01","99,000","-","6","-","-","1993","사당로17길 111","-","-","-","-"
"67","서울특별시 관악구 신림동","255-189","0255","0189","현대","84.2200","202109","01","64,500","-","3","-","-","1991","대학20길 27","-","-","-","-"
"68","서울특별시 강남구 역삼동","755-1","0755","0001","개나리푸르지오","132.8355","202109","01","340,000","-","4","-","-","2006","역삼로 314","-","-","-","-"
"69","서울특별시 관악구 봉천동","1718","1718","0000","벽산블루밍","59.9900","202109","01","80,000","-","7","-","-","2005","은천로 93","-","-","-","-"
"70","서울특별시 구로구 신도림동","290","0290","0000","미성","37.9100","202109","01","68,000","-","4","-","-","1989","신도림로11가길 36","20211009","-","-","-"
"71","서울특별시 서초구 잠원동","159","0159","0000","아크로리버뷰신반포","78.4800","202109","01","338,000","-","9","-","-","2018","잠원로 117","-","-","-","-"
"72","서울특별시 영등포구 신길동","261-22","0261","0022","신길레전드힐스","13.7400","202109","01","9,500","-","6","-","-","2013","가마산로 468","-","-","-","-"
"73","서울특별시 동작구 신대방동","565","0565","0000","우성1차","66.6900","202109","01","98,700","-","15","-","-","1988","여의대방로 22","-","-","-","-"
"74","서울특별시 강남구 대치동","890-49","0890","0049","선릉역대우아이빌(890-49)","25.4200","202109","01","23,000","-","14","-","-","2004","테헤란로64길 9","-","-","-","-"
"75","서울특별시 서초구 방배동","866-20","0866","0020","방배대우디오빌","29.6000","202109","01","30,000","-","9","-","-","2005","서초대로 17","-","-","-","-"
"76","서울특별시 영등포구 영등포동4가","103","0103","0000","영등포그랑그루","12.1000","202109","01","14,000","-","12","-","-","2012","문래로 191","-","-","-","-"
"77","서울특별시 강남구 대치동","63","0063","0000","대치우성아파트1동,2동,3동,5동,6동,7동","84.6900","202109","01","239,000","-","9","-","-","1984","영동대로 230","-","-","-","-"
"78","서울특별시 금천구 독산동","711-2","0711","0002","금천현대","59.8200","202109","01","67,700","-","17","-","-","2002","벚꽃로 73","-","-","-","-"
"79","서울특별시 강남구 신사동","506-9","0506","0009","래미안신사","84.8900","202109","01","200,000","-","5","-","-","2008","압구정로2길 20","-","-","-","-"
"80","서울특별시 구로구 궁동","112-10","0112","0010","호수1차A동","75.3700","202109","01","34,000","-","1","-","-","2003","오리로22가길 32","-","-","-","-"
"81","서울특별시 구로구 온수동","155","0155","0000","온수힐스테이트","84.9700","202109","01","84,500","-","1","-","-","2010","부일로9길 127","-","-","-","-"
"82","서울특별시 구로구 개봉동","476","0476","0000","한마을","59.5700","202109","01","75,500","-","17","-","-","1999","경인로 382","-","-","-","-"
"83","서울특별시 영등포구 당산동4가","29","0029","0000","한강아파트","84.9800","202109","01","65,000","-","4","-","-","1999","영신로57길 5","-","-","-","-"
"84","서울특별시 영등포구 여의도동","30","0030","0000","목화","89.2600","202109","01","192,500","-","3","-","-","1977","여의나루로 126","-","-","-","-"
